ID_STOCK_SUSTANCIAS;ID_SUSTANCIA;UBICACION;CANTIDAD;UNIDAD;PUREZA;MARCA;FECHA_INGRESO;FECHA_CADUCIDAD
29;9;Deposito A;188;g;72.51173748518939;Merke;2013-09-15;2015-09-15
30;32;Bajomesada;221;ml;85.70877072244969;WW Chemicals;2015-07-28;2017-07-27
31;15;Deposito B;125;kg;29.998052441632073;WW Chemicals;2020-10-10;2022-10-10
32;4;Bajomesada;428;g;21.16880325310871;Simba Arlich;2018-12-18;2020-12-17
33;23;Bajomesada;196;l;32.26332543941383;Forza Pharmaceuticals;2020-01-16;2022-01-15
34;27;Estante;314;l;78.85841867282397;Quimica El Cholo;2014-09-27;2016-09-26
35;26;Deposito B;119;kg;65.44029987269366;Simba Arlich;2015-05-14;2017-05-13
36;37;Deposito B;56;l;17.79852374116236;Simba Arlich;2012-09-05;2014-09-05
37;11;Deposito A;196;ml;65.68005860755231;Forza Pharmaceuticals;2019-08-09;2021-08-08
38;1;Deposito A;156;ml;48.53441981893577;Quimica El Cholo;2012-07-07;2014-07-07
39;44;Deposito A;429;l;98.741115572882;WW Chemicals;2018-12-04;2020-12-03
40;19;Bajomesada;104;ml;98.27338679945326;Simba Arlich;2016-09-04;2018-09-04
41;7;Deposito A;371;l;21.42512653076095;Quimica El Cholo;2018-08-23;2020-08-22
42;26;Deposito A;432;kg;79.1448203057039;Forza Pharmaceuticals;2016-09-23;2018-09-23
43;2;Estante;496;g;15.47674948323717;Forza Pharmaceuticals;2013-08-08;2015-08-08
44;5;Estante;379;l;34.610212196797406;Merke;2020-10-27;2022-10-27
45;5;Deposito B;388;g;9.933719117121305;Simba Arlich;2015-03-01;2017-02-28
46;41;Deposito B;328;ml;19.211773915066978;Simba Arlich;2019-09-11;2021-09-10
47;10;Estante;212;g;32.637206676743546;WW Chemicals;2015-10-26;2017-10-25
48;34;Deposito B;246;g;21.871514162946788;Merke;2015-01-12;2017-01-11
49;18;Bajomesada;394;g;59.959476793890715;Merke;2017-10-09;2019-10-09
50;18;Deposito A;368;l;62.12700715331559;WW Chemicals;2018-08-26;2020-08-25
51;9;Deposito B;296;g;16.911108673164083;Forza Pharmaceuticals;2017-08-08;2019-08-08
52;34;Estante;122;l;69.83013849494644;Simba Arlich;2021-03-07;2023-03-07
53;19;Deposito A;421;kg;57.668062875007884;WW Chemicals;2015-12-26;2017-12-25
54;50;Bajomesada;107;ml;26.266961982532056;Quimica El Cholo;2013-03-21;2015-03-21
55;13;Deposito A;90;g;89.1657906809547;Merke;2014-06-29;2016-06-28
56;29;Bajomesada;406;g;45.62689370781291;Forza Pharmaceuticals;2013-12-04;2015-12-04
57;5;Estante;163;ml;20.366543888674247;Merke;2017-11-11;2019-11-11
58;4;Deposito B;98;ml;44.67055618571722;Quimica El Cholo;2015-03-28;2017-03-27
59;17;Bajomesada;310;ml;47.387986260983546;Merke;2016-06-09;2018-06-09
60;37;Deposito B;187;g;17.744290400643838;Forza Pharmaceuticals;2019-11-14;2021-11-13
61;48;Estante;50;ml;41.24308917927538;Forza Pharmaceuticals;2019-06-05;2021-06-04
62;18;Estante;154;ml;35.399063267255926;Forza Pharmaceuticals;2019-02-09;2021-02-08
63;17;Bajomesada;386;kg;57.05567865734027;Forza Pharmaceuticals;2015-07-15;2017-07-14
64;6;Estante;269;g;32.86461106679756;Quimica El Cholo;2015-05-17;2017-05-16
65;49;Deposito A;404;kg;49.08210072441762;Simba Arlich;2020-12-21;2022-12-21
66;7;Estante;333;l;21.170196239028716;Forza Pharmaceuticals;2019-03-30;2021-03-29
67;24;Deposito A;420;ml;17.74027843013708;Quimica El Cholo;2018-09-07;2020-09-06
68;11;Deposito A;140;l;91.97487897658675;Merke;2020-01-04;2022-01-03
69;31;Bajomesada;454;g;99.3630874957198;Simba Arlich;2020-01-25;2022-01-24
70;17;Estante;344;ml;61.39420554407548;Quimica El Cholo;2015-12-08;2017-12-07
71;45;Bajomesada;196;g;69.77574140269077;WW Chemicals;2017-07-04;2019-07-04
72;25;Estante;354;g;77.32493393299657;WW Chemicals;2016-07-17;2018-07-17
73;12;Bajomesada;393;ml;17.94018143839208;Forza Pharmaceuticals;2017-11-22;2019-11-22
74;44;Estante;167;kg;86.54334331264039;Merke;2012-08-15;2014-08-15
75;13;Deposito A;77;ml;38.378290877292095;Forza Pharmaceuticals;2013-01-02;2015-01-02
76;35;Deposito B;236;g;36.07408411298412;Merke;2015-05-15;2017-05-14
77;10;Deposito A;87;l;21.350626830480735;Simba Arlich;2016-07-10;2018-07-10
78;48;Estante;161;ml;23.829192150960562;Simba Arlich;2014-05-01;2016-04-30
79;4;Estante;388;ml;16.624752967232787;Merke;2017-05-20;2019-05-20
80;12;Deposito B;326;kg;17.601727301246843;Quimica El Cholo;2017-05-15;2019-05-15
81;23;Estante;280;kg;99.11254358533654;Forza Pharmaceuticals;2016-03-14;2018-03-14
82;24;Estante;500;l;92.1968827091936;Quimica El Cholo;2013-12-13;2015-12-13
83;28;Deposito A;411;ml;54.68649286223156;Quimica El Cholo;2019-05-20;2021-05-19
84;24;Deposito A;445;g;37.058647727491405;WW Chemicals;2014-05-06;2016-05-05
85;19;Deposito B;132;kg;63.950991713669666;Quimica El Cholo;2012-12-09;2014-12-09
86;7;Estante;160;ml;55.8509911500434;Merke;2020-09-06;2022-09-06
87;22;Deposito A;68;l;8.249882216810352;Forza Pharmaceuticals;2020-04-08;2022-04-08
88;29;Deposito B;173;g;53.78162281978317;Quimica El Cholo;2013-08-13;2015-08-13
89;30;Estante;266;g;18.180131423990485;Forza Pharmaceuticals;2016-08-12;2018-08-12
90;26;Estante;145;ml;86.3496910963508;Forza Pharmaceuticals;2017-12-17;2019-12-17
91;46;Estante;76;kg;15.627179919182282;Quimica El Cholo;2021-04-23;2023-04-23
92;3;Bajomesada;295;ml;53.644023657643146;Quimica El Cholo;2012-08-11;2014-08-11
93;5;Estante;394;l;14.251435925152926;WW Chemicals;2018-01-16;2020-01-16
94;8;Deposito A;410;l;87.71066036943603;Quimica El Cholo;2020-05-23;2022-05-23
95;42;Deposito B;310;kg;7.802730135980511;Merke;2021-05-01;2023-05-01
96;28;Bajomesada;223;l;14.17664631468356;Forza Pharmaceuticals;2020-07-28;2022-07-28
97;17;Estante;176;kg;42.7926495004287;Quimica El Cholo;2012-08-30;2014-08-30
98;38;Deposito A;476;kg;87.46162727564851;Simba Arlich;2018-03-27;2020-03-26
99;26;Bajomesada;247;g;96.30720666853956;Merke;2018-08-15;2020-08-14
100;20;Estante;62;l;77.74467148129553;Forza Pharmaceuticals;2015-02-09;2017-02-08
101;34;Deposito B;162;kg;19.185778649220687;WW Chemicals;2014-05-19;2016-05-18
102;23;Bajomesada;406;kg;87.40753724809133;WW Chemicals;2021-04-13;2023-04-13
103;27;Bajomesada;162;l;27.77780302417274;Forza Pharmaceuticals;2014-06-05;2016-06-04
104;13;Bajomesada;374;kg;71.20584970237972;Merke;2019-07-31;2021-07-30
105;7;Bajomesada;198;ml;62.673912248811774;Merke;2021-02-03;2023-02-03
106;20;Estante;307;g;25.955023667563413;WW Chemicals;2016-10-28;2018-10-28
107;8;Deposito A;51;g;81.13485629537486;Simba Arlich;2014-07-15;2016-07-14
108;49;Bajomesada;337;g;22.772377905336896;Merke;2018-04-29;2020-04-28
109;50;Bajomesada;60;g;84.89075363493555;Merke;2016-12-13;2018-12-13
110;50;Bajomesada;55;ml;6.565596992797565;Simba Arlich;2021-05-03;2023-05-03
111;29;Deposito A;60;l;85.82559573323904;Merke;2019-05-28;2021-05-27
112;12;Deposito A;468;kg;88.52629592548493;Forza Pharmaceuticals;2016-07-05;2018-07-05
113;11;Deposito B;54;ml;98.30088831065895;Merke;2015-09-08;2017-09-07
114;26;Bajomesada;463;g;40.38588944120225;Quimica El Cholo;2021-03-07;2023-03-07
115;11;Deposito A;486;l;70.61897248575006;Forza Pharmaceuticals;2015-12-04;2017-12-03
116;49;Bajomesada;391;g;85.00549991683226;Forza Pharmaceuticals;2020-12-31;2022-12-31
117;32;Deposito A;253;g;27.859764056379753;Simba Arlich;2012-12-08;2014-12-08
118;49;Deposito A;304;kg;46.8950095758711;Quimica El Cholo;2013-10-26;2015-10-26
119;40;Deposito B;217;ml;77.86208225541597;WW Chemicals;2016-01-12;2018-01-11
120;12;Deposito B;237;l;74.3936995467682;Merke;2014-12-10;2016-12-09
121;1;Deposito A;323;ml;39.00708393388981;Quimica El Cholo;2014-05-18;2016-05-17
122;34;Bajomesada;291;kg;69.86821683936842;Simba Arlich;2014-12-24;2016-12-23
123;39;Deposito A;229;g;27.2240159793318;WW Chemicals;2018-05-13;2020-05-12
124;42;Deposito B;322;ml;27.886505760859098;Simba Arlich;2014-05-06;2016-05-05
125;21;Deposito A;308;g;56.728615583139714;Merke;2014-02-06;2016-02-06
126;4;Estante;110;ml;41.98342796650431;WW Chemicals;2017-05-13;2019-05-13
127;24;Bajomesada;391;ml;9.001948540300967;WW Chemicals;2017-02-11;2019-02-11
128;32;Estante;329;kg;72.29501527287448;WW Chemicals;2015-11-06;2017-11-05
129;33;Estante;243;l;41.7442212497379;Simba Arlich;2017-03-10;2019-03-10
130;49;Deposito B;482;ml;53.34593952744978;Forza Pharmaceuticals;2020-11-01;2022-11-01
131;31;Deposito A;164;ml;97.65061037733801;Merke;2021-02-17;2023-02-17
132;36;Deposito B;472;ml;53.442125933694655;WW Chemicals;2016-07-18;2018-07-18
133;15;Estante;286;g;79.14528899151712;Simba Arlich;2020-01-08;2022-01-07
134;26;Estante;101;kg;38.44825772871021;Quimica El Cholo;2017-03-17;2019-03-17
135;2;Estante;455;kg;72.42657731580105;Quimica El Cholo;2020-06-15;2022-06-15
136;1;Estante;249;kg;60.029630546055074;WW Chemicals;2013-05-04;2015-05-04
137;31;Deposito A;59;ml;11.507737523572066;Quimica El Cholo;2017-03-10;2019-03-10
138;49;Estante;461;g;68.29513196832013;Forza Pharmaceuticals;2021-01-03;2023-01-03
139;15;Deposito A;229;g;35.593254548659786;Merke;2012-07-18;2014-07-18
140;35;Estante;179;kg;21.357042655160758;Simba Arlich;2017-06-07;2019-06-07
141;40;Estante;297;kg;41.1298136221455;Quimica El Cholo;2021-03-18;2023-03-18
142;35;Deposito A;154;l;45.0820182589547;Simba Arlich;2019-03-22;2021-03-21
143;22;Bajomesada;72;ml;55.95007280701971;Simba Arlich;2013-09-06;2015-09-06
144;13;Estante;263;ml;52.876623868011414;Forza Pharmaceuticals;2015-06-22;2017-06-21
145;32;Deposito B;215;g;94.65648681935063;Forza Pharmaceuticals;2019-03-13;2021-03-12
146;28;Bajomesada;485;ml;33.84309612309118;Simba Arlich;2019-11-02;2021-11-01
147;4;Bajomesada;58;l;99.02934452642496;Simba Arlich;2019-09-17;2021-09-16
148;31;Bajomesada;316;g;17.906840309434372;WW Chemicals;2018-10-20;2020-10-19
149;47;Bajomesada;337;l;23.820215551294044;Forza Pharmaceuticals;2020-10-25;2022-10-25
150;5;Deposito B;429;g;79.07071053666803;Simba Arlich;2018-04-27;2020-04-26
151;4;Estante;240;g;98.98493066802962;WW Chemicals;2018-04-29;2020-04-28
152;47;Deposito A;96;kg;46.54531877655963;Quimica El Cholo;2013-02-27;2015-02-27
153;11;Bajomesada;478;kg;58.87194948200048;Simba Arlich;2013-08-25;2015-08-25
154;41;Deposito B;431;g;62.646177094595735;Simba Arlich;2015-02-20;2017-02-19
155;35;Deposito B;497;l;26.173009434564314;Merke;2014-08-09;2016-08-08
156;16;Estante;471;kg;16.70151192968253;WW Chemicals;2017-07-31;2019-07-31
157;6;Deposito A;429;ml;39.50322552244288;Quimica El Cholo;2019-06-12;2021-06-11
158;45;Deposito A;263;ml;95.0559613219495;Quimica El Cholo;2020-06-06;2022-06-06
159;28;Deposito A;473;kg;29.18860679714694;Merke;2013-03-30;2015-03-30
160;17;Deposito B;427;g;43.17228723897378;WW Chemicals;2016-02-02;2018-02-01
161;13;Estante;83;g;87.2376213807906;Quimica El Cholo;2019-03-18;2021-03-17
162;49;Deposito A;97;ml;9.661996988939592;WW Chemicals;2015-12-22;2017-12-21
163;8;Bajomesada;428;ml;93.86766377936414;WW Chemicals;2014-03-02;2016-03-01
164;22;Deposito B;54;kg;37.41063519745118;Quimica El Cholo;2016-06-27;2018-06-27
165;7;Bajomesada;490;ml;78.6150049042796;Merke;2021-02-15;2023-02-15
166;43;Deposito A;220;kg;53.21495325627305;Quimica El Cholo;2012-08-14;2014-08-14
167;39;Deposito A;182;kg;57.625997299412795;Merke;2015-10-18;2017-10-17
168;5;Deposito B;361;l;14.643204566072297;Quimica El Cholo;2012-12-19;2014-12-19
169;24;Deposito A;438;kg;12.077317336633277;Merke;2014-07-11;2016-07-10
170;32;Estante;95;l;39.66459936532358;WW Chemicals;2015-07-03;2017-07-02
171;40;Bajomesada;380;ml;10.706694806663508;Simba Arlich;2019-11-08;2021-11-07
172;14;Bajomesada;95;kg;62.45997330304152;Quimica El Cholo;2018-06-23;2020-06-22
173;28;Deposito A;68;kg;74.96213936427533;WW Chemicals;2012-10-19;2014-10-19
174;5;Estante;111;l;54.38599894748803;Forza Pharmaceuticals;2017-08-30;2019-08-30
175;15;Bajomesada;202;g;72.34638989756658;WW Chemicals;2018-08-23;2020-08-22
176;10;Bajomesada;440;g;98.21647625630884;Quimica El Cholo;2013-09-13;2015-09-13
177;30;Estante;305;g;27.17144632548689;Forza Pharmaceuticals;2021-01-13;2023-01-13
178;5;Bajomesada;150;kg;58.40555938064615;Simba Arlich;2018-08-24;2020-08-23
179;27;Deposito A;168;kg;46.12175084948702;WW Chemicals;2015-02-08;2017-02-07
180;38;Deposito A;347;l;68.24476000312694;WW Chemicals;2014-03-29;2016-03-28
181;31;Bajomesada;458;g;65.57980160163932;Merke;2012-07-01;2014-07-01
182;30;Estante;318;kg;54.35856417048053;Quimica El Cholo;2015-08-30;2017-08-29
183;35;Estante;472;l;96.398963263598;WW Chemicals;2020-08-25;2022-08-25
184;9;Bajomesada;116;kg;70.84486354313665;Quimica El Cholo;2012-07-15;2014-07-15
185;6;Estante;146;ml;68.96596773311806;Forza Pharmaceuticals;2017-09-09;2019-09-09
186;27;Estante;493;ml;11.128544192251761;Forza Pharmaceuticals;2012-07-15;2014-07-15
187;41;Deposito A;63;ml;79.40391325278932;WW Chemicals;2012-10-29;2014-10-29
188;27;Bajomesada;469;kg;49.505438630526186;Simba Arlich;2015-12-04;2017-12-03
189;44;Estante;270;l;10.904160243120542;Merke;2016-06-24;2018-06-24
190;29;Deposito B;76;l;80.20899818787187;Forza Pharmaceuticals;2015-08-11;2017-08-10
191;31;Deposito A;467;kg;13.555591113430195;WW Chemicals;2014-03-22;2016-03-21
192;3;Deposito B;82;kg;59.756849481912454;Merke;2020-06-07;2022-06-07
193;19;Deposito A;123;g;35.10453048090848;WW Chemicals;2016-11-13;2018-11-13
194;14;Deposito B;173;ml;68.59764594806242;WW Chemicals;2018-10-22;2020-10-21
195;50;Estante;466;ml;65.17410432553011;Simba Arlich;2017-09-12;2019-09-12
196;46;Deposito A;296;l;63.89398356747556;Merke;2021-03-24;2023-03-24
197;2;Deposito B;314;ml;69.24167982384154;WW Chemicals;2013-06-04;2015-06-04
198;20;Estante;297;kg;90.0098005868783;Forza Pharmaceuticals;2012-05-07;2014-05-07
199;6;Bajomesada;212;ml;75.1402794851273;Simba Arlich;2015-06-24;2017-06-23
200;7;Deposito B;290;l;77.5783228148134;Simba Arlich;2012-10-26;2014-10-26
